Product_Category,Product_Price,Order_Quantity,Return_Reason,User_Age,User_Gender,Payment_Method,Shipping_Method,Discount_Applied,Return_Flag_fixed,Days_to_Return_filled2,Total_Order_Value,Order_Year,Order_Month,Order_Weekday,User_Location_Num
1,1.1143921305739815,-0.0043363266927547,0,0.9016265484076758,1,1,1,1.4118424000130585,1,1.531263714774227,0.7891736256874265,2023,8,5,54
0,0.25553983087488846,-0.0043363266927547,4,1.5547424835092156,0,0,0,1.5872971426751166,1,-0.5328168994544066,0.17386604280349957,2023,10,0,85
4,0.9634928103758522,1.4174101299481316,2,-1.4495908179578678,0,1,1,0.11473055247569874,0,-0.7125542563113944,1.984889102946828,2023,5,5,30
4,1.0409022019060614,-0.0043363266927547,2,-0.273982134775096,1,3,1,-0.6699420466518399,0,-0.7125542563113944,0.7365232335410551,2024,8,3,95
0,-0.9958186783191533,0.7065369016276886,2,-0.6658516958360199,0,2,2,-0.6003171487700706,0,-0.7125542563113944,-0.5386358354236495,2023,1,0,80
2,-0.0017449098710870794,-1.4260827833336411,1,0.11788742628582792,0,1,1,1.5747646610563981,1,0.5687991587013248,-0.8532678931262828,2024,2,2,47
1,0.9135196588816665,-0.7152095550131979,4,-1.2536560374274057,1,0,0,0.24353661355697157,1,-0.32988762558361395,0.00528450147387992,2023,5,0,50
2,0.3780930357296771,-0.0043363266927547,3,1.4894308899990616,0,0,0,0.9690280494850061,1,2.4125565612988122,0.26166683961140075,2023,2,3,39
3,0.3501668628358674,1.4174101299481316,1,0.6403801743670599,1,1,2,-0.4520161162819023,1,-0.1849381442473335,1.2525472198061103,2024,12,2,81
1,0.29795401827751666,-0.0043363266927547,3,-0.012735760734480045,1,0,2,1.4076649061401523,1,1.1254051670326417,0.2042528405565481,2023,3,4,82
4,-0.933457224563804,-0.7152095550131979,2,1.6853656705295237,0,0,1,-1.1329476175656048,0,-0.7125542563113944,-0.8768686403360213,2024,5,6,41
3,1.596556053043793,0.7065369016276886,2,0.6403801743670599,1,2,1,-1.7212780046665541,0,-0.7125542563113944,1.937704322937557,2024,2,3,22
4,-0.2516806577502707,-0.0043363266927547,2,1.4241192964889076,1,3,2,0.3667726828077032,0,-0.7125542563113944,-0.18952194946769413,2024,6,4,17
2,-0.3750737475041213,-0.7152095550131979,2,0.44444539383659787,1,3,1,0.8068020374204841,0,-0.7125542563113944,-0.6101735111018938,2023,7,5,85
2,-0.7418934771694254,0.7065369016276886,2,0.05257583277567394,1,3,1,0.2254341401077117,0,-0.7125542563113944,-0.2960763145258267,2024,9,6,9
2,0.8238619459068041,-0.7152095550131979,4,-1.3189676309375598,0,0,2,-0.06977542691098969,1,1.0442334574843248,-0.03753781747183548,2024,10,2,27
1,0.4109185372013481,-1.4260827833336411,2,0.5097569873467518,0,3,2,-1.2763749072020492,0,-0.7125542563113944,-0.7547197305564397,2024,5,3,77
2,1.0341131323053108,-1.4260827833336411,1,-0.7311632893461739,1,3,2,-0.46942234075234457,1,-0.01679674589724821,-0.6058946220893633,2023,2,4,33
0,0.7414832353904784,-1.4260827833336411,0,0.44444539383659787,0,3,2,-0.9157179361744849,1,2.5864959389023485,-0.6757775711572931,2024,10,0,43
2,-0.1709817170320689,1.4174101299481316,0,0.3791338003264439,0,1,0,1.3136712939997637,1,-0.32988762558361395,0.6302697278666162,2024,7,5,64
1,-1.7233689721315626,-1.4260827833336411,2,-0.8617864763664819,0,0,1,1.5650171753529503,0,-0.7125542563113944,-1.2644089553537252,2023,7,0,70
0,-1.1665952744617487,-0.7152095550131979,0,-0.9270980698766359,0,1,2,-0.028696737160745892,1,1.7110010716312147,-0.9882200411230455,2024,2,2,26
0,-0.17616100724295095,1.4174101299481316,4,1.3588077029787538,0,2,1,0.2052429197219987,1,1.0500314367377759,0.6240853960906931,2024,7,5,90
2,-1.3664178900302362,-0.7152095550131979,4,-0.208670541264942,0,2,2,1.2579713756943485,1,0.20932444498734928,-1.083659323394722,2024,7,0,28
4,0.15342382523060724,-0.7152095550131979,2,-1.7108371919984837,1,2,0,-1.5667107313690265,0,-0.7125542563113944,-0.3577524881830046,2024,7,5,84
2,0.8313509195901063,1.4174101299481316,2,0.9016265484076758,0,2,2,-0.43948363466318385,0,-0.7125542563113944,1.8271050706097667,2024,11,4,83
4,-0.1357765416797224,1.4174101299481316,2,-1.5149024114680216,0,1,0,-1.0542714829592057,0,-0.7125542563113944,0.6723064695326871,2023,3,6,98
3,1.4239597062865632,-1.4260827833336411,2,0.5097569873467518,0,3,0,-0.9073629484286726,0,-0.7125542563113944,-0.5127953572464145,2024,5,6,10
4,-1.0202453308002049,1.4174101299481316,1,0.5750685808569058,1,0,2,-0.4575861081124437,1,-0.057382600671406735,-0.383793539282702,2024,5,2,69
0,0.45865199563136855,1.4174101299481316,2,0.9669381419178298,0,2,2,-0.48334732032869837,0,-0.7125542563113944,1.3820838988963893,2024,4,5,32
4,1.1266404520186348,-0.0043363266927547,2,0.31382220681628986,1,0,2,0.9258606127983094,0,-0.7125542563113944,0.7979486910451551,2023,5,1,55
2,1.6053048540756882,1.4174101299481316,2,-1.0577212568969439,0,0,1,-0.34549002252279537,0,-0.7125542563113944,2.7512448108551237,2023,12,5,79
4,0.3955906377934676,0.7065369016276886,2,1.5547424835092156,0,1,0,0.7281259028140853,0,-0.7125542563113944,0.7904940640936371,2024,6,6,47
3,0.5802953251788401,0.7065369016276886,4,-1.7108371919984837,1,1,1,0.026306932165851938,1,0.26730423752186144,0.9669313782196993,2024,2,5,20
